Name,Citations,Articles,Ranking
I B Rogozin,103,7,1000
R Stevens,48,7,1000
C A Goble,48,4,1000
S Bechhofer,48,4,1000
R Apweiler,189,16,1000
W Kaplan,73,1,1000
T G Littlejohn,73,2,1000
R Stevens,52,13,1000
Sue A Olson,69,1,1000
Frühling V Rijsdijk,196,1,1000
Pak C Sham,196,3,1000
Cathryn M Lewis,93,1,1000
Nicola J Mulder,63,1,1000
Terri K Attwood,63,1,1000
Amos Bairoch,128,2,1000
Alex Bateman,63,1,1000
David Binns,63,1,1000
Margaret Biswas,63,1,1000
Paul Bradley,63,1,1000
Peer Bork,63,1,1000
Phillip Bucher,63,1,1000
Richard Copley,63,1,1000
Emmanuel Courcelle,63,1,1000
Richard Durbin,63,1,1000
Laurent Falquet,63,1,1000
Wolfgang Fleischmann,63,1,1000
Jerome Gouzy,63,1,1000
Sam Griffith-Jones,63,1,1000
Daniel Haft,63,1,1000
Florence Servant,109,1,1000
Catherine Bru,109,1,1000
Sxc3xa9bastien Carrxc3xa8re,109,1,1000
Emmanuel Courcelle,109,1,1000
Jxc3xa9rxc4xb5me Gouzy,109,1,1000
David Peyruc,109,1,1000
Daniel Kahn,109,1,1000
Christian J A Sigrist,208,1,1000
Lorenzo Cerutti,208,1,1000
Nicolas Hulo,208,1,1000
Alexandre Gattiker,208,1,1000
Laurent Falquet,208,1,1000
Marco Pagni,208,1,1000
Amos Bairoch,208,1,1000
Philipp Bucher,208,1,1000
Claire ODonovan,65,1,1000
Maria Jesus Martin,65,1,1000
Alexandre Gattiker,65,1,1000
Elisabeth Gasteiger,65,1,1000
Mark D Wilkinson,95,2,1000
Matthew Links,95,1,1000
Don Gilbert,41,10,1000
Matt Berriman,70,1,1000
Kim Rutherford,70,1,1000
Vladimir N Babenko,71,2,1000
Sun Yong Kim,66,3,1000
Seiya Imoto,75,11,1000
Satoru Miyano,75,24,1000
Rita Casadio,281,19,100
Piero Fariselli,91,27,1000
Selina S Dwight,40,1,1000
Rama Balakrishnan,40,1,1000
Karen R Christie,40,1,1000
Maria C Costanzo,40,1,1000
Kara Dolinski,40,1,1000
Stacia R Engel,40,1,1000
Becket Feierbach,40,1,1000
Dianna G Fisk,40,1,1000
Jodi Hirschman,40,1,1000
Eurie L Hong,40,1,1000
Laurie Issel-Tarver,40,1,1000
Robert S Nash,40,1,1000
Anand Sethuraman,40,1,1000
Barry Starr,40,1,1000
Chandra L Theesfeld,40,1,1000
Rey Andrada,40,1,1000
Gail Binkley,40,1,1000
Qing Dong,40,2,1000
Christopher Lane,40,1,1000
Amos Bairoch,111,2,1000
Brigitte Boeckmann,131,2,1000
Serenella Ferro,111,1,1000
Elisabeth Gasteiger,111,1,1000
Sudhir Kumar,3768,12,10
Koichiro Tamura,3022,2,10
Masatoshi Nei,3768,3,10
Shoba Ranganathan,98,13,1000
Mihai Pop,94,1,1000
Adam Phillippy,94,1,1000
Arthur L Delcher,94,4,1000
Steven L Salzberg,94,2,1000
Zheng Rong Yang,47,4,1000
Jakob C Mueller,48,2,1000
Guoqing Lu,61,1,1000
Etsuko N Moriyama,61,2,1000
Olga G Troyanskaya,134,20,1000
